"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.548999920E-3,5.134323120E-2,-5.044509888E-2,9.966724091E0,9.966983994E0
1.158499997E-2,6.182144165E-2,-2.080673218E-2,9.943672028E0,9.943885971E0
2.162100002E-2,2.095642090E-3,2.043251038E-1,1.007449997E1,1.007657198E1
3.165800031E-2,-3.712280273E-2,3.405418396E-1,1.010413834E1,1.010994354E1
4.169400036E-2,-1.017883301E-2,2.797682190E-1,9.987530823E0,9.991453638E0
5.173000041E-2,3.382965088E-2,8.247848511E-2,9.875413971E0,9.875816333E0
6.176700071E-2,5.538482666E-2,-6.466552734E-2,9.808652802E0,9.809022321E0
7.180300076E-2,4.251159668E-2,-4.580474854E-2,9.833052063E0,9.833250642E0
8.184000012E-2,5.733078003E-2,-4.550537109E-2,9.803413696E0,9.803686942E0
9.187600017E-2,6.496490479E-2,-3.802093506E-2,9.814640350E0,9.814928998E0
1.019120002E-1,4.685256958E-2,-1.736389160E-2,9.948462067E0,9.948587546E0
1.119490005E-1,2.814147949E-2,-8.981323242E-3,1.008797195E1,1.008801520E1
1.219850006E-1,2.993774414E-2,-8.981323242E-3,1.011117371E1,1.011122202E1
1.320210006E-1,4.819976807E-2,-1.511856079E-2,1.000459534E1,1.000472287E1
1.420580000E-1,6.227050781E-2,-1.392105103E-2,9.924811249E0,9.925016359E0
1.520940000E-1,4.939727783E-2,-2.574645996E-2,9.998607788E0,9.998762957E0
1.621310003E-1,2.215393066E-2,-3.442840576E-2,1.012284943E1,1.012293221E1
1.721670004E-1,2.454895020E-2,-3.562591553E-2,1.010488678E1,1.010497940E1
1.822030004E-1,6.032455444E-2,-4.221221924E-2,9.955946503E0,9.956218744E0
1.922400007E-1,6.167175293E-2,-4.056564331E-2,9.917476501E0,9.917751214E0
2.022760008E-1,2.664459229E-2,-4.340972900E-2,9.989925842E0,9.990055689E0
2.123130001E-1,-1.796264648E-3,-3.802093506E-2,1.002031265E1,1.002038495E1
2.223490002E-1,2.544708252E-2,-4.415817261E-2,9.809401245E0,9.809533643E0
2.323850002E-1,5.703140259E-2,-4.116439819E-2,9.596244507E0,9.596502265E0
2.424220005E-1,4.430786133E-2,-2.888992310E-2,9.630972290E0,9.631117540E0
2.524580006E-1,7.185058594E-3,-1.451980591E-2,9.821076965E0,9.821090327E0
2.624940006E-1,6.137237549E-3,-1.017883301E-2,9.931098175E0,9.931105288E0
2.725310000E-1,2.649490356E-2,-6.586303711E-3,9.873468018E0,9.873505763E0
2.825670000E-1,4.805007935E-2,-1.197509766E-3,9.844578094E0,9.844695430E0
2.926040003E-1,2.305206299E-2,4.041595459E-3,9.961784363E0,9.961811854E0
3.026400004E-1,2.140548706E-2,4.490661621E-4,1.006881180E1,1.006883456E1
3.126760004E-1,2.275268555E-2,-1.496887207E-4,1.010877869E1,1.010880429E1
3.227130007E-1,4.146377563E-2,-1.062789917E-2,1.008797195E1,1.008806276E1
3.327490008E-1,5.867797852E-2,-4.041595459E-3,1.004052063E1,1.004069290E1
3.427850008E-1,4.834945679E-2,-5.239105225E-3,1.016102005E1,1.016113643E1
3.528220002E-1,4.266128540E-2,1.317260742E-2,1.037282959E1,1.037292568E1
3.628580002E-1,7.858657837E-2,4.790039062E-3,1.054931259E1,1.054960639E1
3.728950005E-1,3.667373657E-2,1.796264648E-3,1.112351852E1,1.112357912E1
3.829310006E-1,-4.849914551E-2,-1.422042847E-2,1.195668594E1,1.195679276E1
3.929670006E-1,-2.784210205E-2,-5.403762817E-2,1.237835907E1,1.237850833E1
4.030040000E-1,-4.176315308E-2,-6.122268677E-2,1.306213715E1,1.306234738E1
4.130400000E-1,2.442919922E-1,-9.250762939E-2,1.290945465E1,1.291209726E1
4.230760001E-1,3.005749512E-1,-2.103126526E-1,1.380189880E1,1.380677324E1
4.331130004E-1,-6.735992432E-2,-1.210981750E-1,1.525822037E1,1.525884959E1
4.431490004E-1,2.859054565E-2,-9.475296021E-2,1.442864548E1,1.442898492E1
4.531860007E-1,4.281097412E-2,-4.894821167E-2,1.391745850E1,1.391761042E1
4.632220007E-1,3.173400879E-2,-6.137237549E-3,1.345521973E1,1.345525855E1
4.732580008E-1,4.251159668E-2,3.966751099E-2,1.303100189E1,1.303113161E1
4.832950002E-1,7.080276489E-2,9.101074219E-2,1.240036331E1,1.240089941E1
4.933310002E-1,-2.245330811E-3,1.365161133E-1,1.214529373E1,1.214606115E1
5.033680005E-1,2.065704346E-1,1.357676697E-1,1.060918808E1,1.061206747E1
5.134040006E-1,-1.115180969E-1,1.020877075E-1,1.088626190E1,1.088731172E1
5.234400006E-1,-1.779798889E-1,1.281335449E-1,1.087009552E1,1.087230756E1
5.334770000E-1,2.891986084E-1,1.393601990E-1,8.974138184E0,8.979878242E0
5.435130000E-1,7.619155884E-2,1.118174744E-1,9.963131561E0,9.964050321E0
5.535490001E-1,-2.206411743E-1,5.852828979E-2,1.044423111E1,1.044672540E1
5.635860004E-1,-4.595443726E-2,3.427871704E-2,8.983718262E0,8.983901193E0
5.736220004E-1,1.068777466E-1,4.969665527E-2,7.607480164E0,7.608393198E0
5.836590007E-1,1.092727661E-1,8.128097534E-2,7.039112091E0,7.040429402E0
5.936950007E-1,-2.993774414E-3,6.152206421E-2,7.148684235E0,7.148949588E0
6.037310008E-1,6.691085815E-2,5.373825073E-2,6.572382660E0,6.572942925E0
6.137680002E-1,-1.133143616E-1,-3.263214111E-2,7.006929016E0,7.007921178E0
6.238040002E-1,9.116043091E-2,1.646575928E-3,5.310955811E0,5.311738374E0
6.338410005E-1,4.819976807E-2,-3.727249146E-2,5.220244446E0,5.220600016E0
6.438770005E-1,-2.667453003E-1,-1.242416382E-2,6.758745117E0,6.764018256E0
6.539130006E-1,1.257385254E-1,-8.053253174E-2,5.872737579E0,5.874635507E0
6.639500000E-1,2.233355713E-1,-3.742218018E-2,4.779860229E0,4.785221313E0
6.739860000E-1,5.837860107E-3,-4.909790039E-2,5.428311768E0,5.428536942E0
6.840220001E-1,-1.666035461E-1,-1.960922241E-2,6.045927429E0,6.048254272E0
6.940590004E-1,5.493576050E-2,-1.314266968E-1,5.092410278E0,5.094402159E0
7.040950004E-1,1.359173584E-1,-1.294807434E-1,4.806654510E0,4.810318739E0
7.141320007E-1,-5.403762817E-2,-9.834548950E-2,5.737568665E0,5.738665880E0
7.241680007E-1,4.999603271E-2,-1.206491089E-1,5.654042358E0,5.655550442E0
7.342040008E-1,-1.264869690E-1,-4.954696655E-2,6.334976349E0,6.336432687E0
7.442410002E-1,-3.727249146E-2,-6.376739502E-2,5.787864075E0,5.788335345E0
7.542770002E-1,1.881587219E-1,-1.550775146E-1,5.635031891E0,5.640304704E0
7.643130003E-1,-5.134323120E-2,-9.550140381E-2,7.830216980E0,7.830967667E0
7.743500005E-1,-2.874023438E-2,-1.357676697E-1,8.137378235E0,8.138561507E0
7.843860006E-1,1.254391479E-1,-1.824705505E-1,7.278164978E0,7.281532526E0
7.944230000E-1,1.631607056E-1,-2.480342102E-1,7.570207672E0,7.576027098E0
8.044590000E-1,-1.552272034E-1,-2.344125366E-1,9.549541626E0,9.553679395E0
8.144950001E-1,-1.411564636E-1,-1.751358032E-1,1.001237915E1,1.001490559E1
8.245320003E-1,1.112187195E-1,-2.297721863E-1,9.403744812E0,9.407209010E0
8.345680004E-1,1.077758789E-2,-1.437011719E-1,1.019889130E1,1.019990931E1
8.446050007E-1,6.780899048E-2,-1.508862305E-1,1.033870056E1,1.034002389E1
8.546410007E-1,1.347198486E-3,-1.450483704E-1,1.073597443E1,1.073695430E1
