"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
3.065583296E-3,9.898947552E-3,2.291267633E0,-3.177340142E-3,2.291291220E0
1.304958330E-2,1.216262579E-2,2.064985991E0,-1.105773263E-3,2.065022105E0
2.303358330E-2,7.168133743E-3,1.832659125E0,-2.417113632E-3,1.832674738E0
3.301858332E-2,7.489862386E-3,1.591159701E0,-1.669760561E-3,1.591178205E0
4.300258332E-2,4.780628718E-3,1.348257303E0,-8.862584364E-4,1.348266070E0
5.298658332E-2,2.806953155E-3,1.102310300E0,-1.514675561E-3,1.102314914E0
6.297158333E-2,3.335057991E-3,8.585593700E-1,2.486457583E-3,8.585694480E-1
7.295558334E-2,1.698802458E-3,6.076865196E-1,-1.030281885E-3,6.076897675E-1
8.293958334E-2,3.917228896E-4,3.564255536E-1,2.006313298E-4,3.564258253E-1
9.292458335E-2,1.847674255E-3,1.015399620E-1,9.310652968E-4,1.015610391E-1
1.029085834E-1,-3.055471461E-3,-1.474155337E-1,-9.097116999E-4,1.474500019E-1
1.128925834E-1,-2.788359066E-3,-3.985846043E-1,2.360227518E-5,3.985943580E-1
1.228775834E-1,-3.806485562E-3,-6.493419409E-1,1.149320509E-3,6.493541148E-1
1.328615834E-1,-2.477038186E-3,-8.974726796E-1,2.394224284E-3,8.974792915E-1
1.428455834E-1,-7.011069916E-3,-1.145486712E0,1.180089079E-3,1.145508776E0
1.528305834E-1,-8.307239972E-3,-1.389762402E0,1.413614023E-3,1.389787948E0
1.628145833E-1,-7.496573497E-3,-1.636261940E0,1.953436760E-3,1.636280279E0
1.727985833E-1,-6.889088079E-3,-1.869994521E0,1.723408815E-3,1.870008005E0
1.827835833E-1,-1.242420170E-2,-2.104486465E0,3.218241269E-3,2.104525600E0
1.927675833E-1,-1.192458346E-2,-2.327000141E0,3.187117400E-3,2.327032877E0
2.027515833E-1,-1.236720011E-2,-2.545327187E0,3.406828269E-3,2.545359511E0
2.127365833E-1,-1.696171425E-2,-2.756226063E0,2.410967834E-3,2.756279308E0
2.227205833E-1,-1.354620978E-2,-2.954504251E0,4.022446461E-3,2.954538044E0
2.327045833E-1,-1.024680119E-2,-3.152477503E0,6.724825129E-3,3.152501328E0
2.426895833E-1,-1.533876453E-2,-3.334798813E0,5.926143378E-3,3.334839354E0
2.526735833E-1,-2.012473531E-2,-3.504630089E0,6.991550326E-3,3.504694844E0
2.626575833E-1,-1.874228939E-2,-3.660336018E0,5.574215669E-3,3.660388245E0
2.726425834E-1,-1.834840700E-2,-3.803246975E0,4.396832082E-3,3.803293776E0
2.826265834E-1,-2.616744861E-2,-3.928386688E0,5.186725874E-3,3.928477263E0
2.926105834E-1,-1.525566354E-2,-4.041081905E0,8.692067116E-3,4.041120049E0
3.025955834E-1,-2.292263694E-2,-4.128298759E0,4.500783980E-3,4.128364852E0
3.125795834E-1,-1.672013849E-2,-4.195095539E0,3.397116903E-3,4.195130235E0
3.225635834E-1,-2.146056667E-2,-4.246701241E0,5.419521593E-3,4.246758923E0
3.325485834E-1,-2.832885832E-2,-4.276654720E0,6.587050855E-3,4.276753618E0
3.425325834E-1,-2.174499072E-2,-4.287519455E0,6.639515515E-3,4.287579737E0
3.525165833E-1,-1.856117696E-2,-4.281261921E0,5.038867239E-3,4.281305121E0
3.625005833E-1,-1.464686170E-2,-4.247502804E0,3.571199020E-3,4.247529559E0
3.724855833E-1,-1.977956854E-2,-4.191039562E0,3.863738384E-3,4.191088018E0
3.824695833E-1,-1.512063574E-2,-4.114686489E0,5.901322700E-3,4.114718503E0
3.924545833E-1,-2.475703694E-2,-4.021945477E0,4.665083252E-3,4.022024377E0
4.024385833E-1,-2.011621371E-2,-3.912591457E0,3.460535780E-3,3.912644700E0
4.124225833E-1,-1.296108961E-2,-3.780784607E0,2.925808309E-3,3.780807955E0
4.224065833E-1,-2.231011540E-2,-3.633503914E0,2.961494727E-3,3.633573613E0
4.323915833E-1,-1.823602617E-2,-3.472958565E0,4.666095600E-3,3.473009576E0
4.423755833E-1,-2.270054817E-2,-3.298947096E0,5.077553913E-3,3.299029105E0
4.523595833E-1,-1.480851602E-2,-3.119474173E0,2.394348150E-3,3.119510240E0
4.623445834E-1,-1.637232490E-2,-2.913072348E0,-2.132083476E-2,2.913196377E0
4.723285834E-1,-1.497977134E-2,-2.727856636E0,2.178276889E-3,2.727898635E0
4.823125834E-1,-1.550068520E-2,-2.518150330E0,5.203894340E-3,2.518203414E0
4.922975834E-1,-1.297918707E-2,-2.305333853E0,1.330007100E-3,2.305370773E0
5.022815834E-1,-1.036822423E-2,-2.084441185E0,4.800638650E-3,2.084472499E0
5.122655834E-1,-1.289558131E-2,-1.864173055E0,4.673392512E-3,1.864223515E0
5.222505834E-1,-6.292806007E-3,-1.627043366E0,5.622542929E-3,1.627065250E0
5.322345833E-1,-1.766215777E-3,-1.387174249E0,1.069987752E-2,1.387216639E0
5.422185833E-1,-8.438499644E-3,-1.154840112E0,-3.545370884E-3,1.154876384E0
5.522035833E-1,-4.673325457E-3,-9.254422784E-1,-3.944407217E-5,9.254540789E-1
5.621875833E-1,-5.680266768E-3,-6.820320487E-1,3.326524980E-3,6.820638142E-1
5.721715833E-1,-2.757176757E-3,-4.406943023E-1,8.402515668E-4,4.407037283E-1
5.821565833E-1,-6.343709538E-4,-1.955676377E-1,2.940373961E-4,1.955688876E-1
5.921405833E-1,-4.143980332E-4,4.298294336E-2,-1.838942058E-3,4.302425889E-2
6.021245833E-1,4.676233977E-3,2.846474946E-1,2.814666368E-4,2.846860421E-1
6.121095833E-1,2.408279339E-3,5.290525556E-1,-4.276442342E-4,5.290582097E-1
6.220935833E-1,6.523395889E-3,7.688978910E-1,-4.619988613E-4,7.689257019E-1
6.320775833E-1,3.783283522E-3,1.006538033E0,-2.355407923E-4,1.006545171E0
6.420625834E-1,4.520446062E-3,1.245776176E0,-6.997040473E-3,1.245804027E0
6.520459583E-1,1.124944817E-2,1.481518984E0,5.533220246E-3,1.481572025E0
6.620299583E-1,1.156103797E-2,1.706995487E0,1.692143152E-3,1.707035475E0
6.720149583E-1,1.158233732E-2,1.935015440E0,-3.636753187E-3,1.935053521E0
6.819989583E-1,1.205371600E-2,2.152129889E0,-2.456440125E-3,2.152165046E0
6.919829583E-1,8.740214631E-3,2.373030663E0,-2.044857712E-3,2.373047639E0
7.019679584E-1,1.875902526E-2,2.580132961E0,-2.460044576E-3,2.580202327E0
7.119519584E-1,1.086196024E-2,2.789505243E0,-5.332280882E-3,2.789531487E0
7.219359584E-1,4.792615771E-3,2.990841150E0,-2.061776072E-2,2.990916055E0
7.319209584E-1,1.263243798E-2,3.167585611E0,-7.915174589E-3,3.167620690E0
7.419049584E-1,1.275334600E-2,3.341181278E0,-6.407824811E-3,3.341211763E0
7.518889584E-1,1.962189935E-2,3.505600214E0,-5.048530176E-3,3.505658764E0
7.618739583E-1,1.930684596E-2,3.662209749E0,-6.615001708E-3,3.662266615E0
7.718579583E-1,1.638269238E-2,3.802146196E0,-8.016410284E-4,3.802181576E0
7.818419583E-1,2.067091502E-2,3.922057867E0,-5.280012731E-3,3.922115893E0
7.918269583E-1,2.236788534E-2,4.025304794E0,-2.656016964E-3,4.025367817E0
8.018109583E-1,1.286838949E-2,4.108550549E0,-4.387870431E-3,4.108573044E0
8.117949583E-1,2.108824626E-2,4.178726196E0,-5.206489470E-3,4.178782651E0
8.217799583E-1,1.984588243E-2,4.219332218E0,-5.563353654E-3,4.219382559E0
8.317639583E-1,2.183017693E-2,4.243978977E0,-5.908021238E-3,4.244039234E0
8.417479583E-1,1.837445982E-2,4.248012543E0,-4.031558055E-3,4.248054194E0
8.517329583E-1,1.671505161E-2,4.229269505E0,-3.098741639E-3,4.229303670E0
8.617169583E-1,1.899524964E-2,4.190442562E0,-5.479075015E-3,4.190489197E0
8.717009583E-1,2.511042543E-2,4.130710602E0,-4.209224135E-3,4.130789068E0
8.816859584E-1,1.678671688E-2,4.054022312E0,-4.228132777E-3,4.054059272E0
8.916699584E-1,1.293232851E-2,3.957480907E0,-6.582650356E-3,3.957507512E0
