"t","z"
4.716601688E-5,2.109868400E-1
1.671925001E-2,2.110020071E-1
3.338766599E-2,2.110512382E-1
5.006449996E-2,2.109745112E-1
6.673387496E-2,2.106996164E-1
8.340887493E-2,2.107514279E-1
1.000771660E-1,2.109095973E-1
1.167514579E-1,2.108401045E-1
1.334205830E-1,2.109411312E-1
1.500952500E-1,2.111391571E-1
1.667668750E-1,2.107795001E-1
1.834551250E-1,2.106630054E-1
2.001110830E-1,2.106123364E-1
2.167848749E-1,2.107161454E-1
2.334540410E-1,2.106419864E-1
2.501297910E-1,2.107687242E-1
2.667988749E-1,2.108032088E-1
2.834734579E-1,2.109275394E-1
3.001436660E-1,2.107217669E-1
3.168178750E-1,2.107173307E-1
3.334864579E-1,2.107974154E-1
3.501610829E-1,2.108467266E-1
3.668387079E-1,2.109213153E-1
3.835071250E-1,2.106827348E-1
4.001758749E-1,2.111349452E-1
4.168505410E-1,2.113522634E-1
4.335197910E-1,2.115455067E-1
4.501966659E-1,2.110646515E-1
4.668652499E-1,2.112217974E-1
4.835386249E-1,2.107124735E-1
5.002091250E-1,2.105400357E-1
5.168840829E-1,2.108544685E-1
5.335534579E-1,2.108188453E-1
5.502271659E-1,2.109295881E-1
5.668980000E-1,2.108558789E-1
5.835716249E-1,2.110116333E-1
6.002417080E-1,2.109274564E-1
6.169182910E-1,2.111363942E-1
6.335862500E-1,2.113452005E-1
6.502594580E-1,2.111970734E-1
6.669322500E-1,2.114834612E-1
6.836045410E-1,2.115253441E-1
7.002802499E-1,2.114015136E-1
7.169491659E-1,2.114623772E-1
7.336183330E-1,2.109723965E-1
7.502927079E-1,2.113088054E-1
7.669640830E-1,2.111741977E-1
7.836369160E-1,2.109963192E-1
8.003078330E-1,2.110040527E-1
8.169815830E-1,2.110846906E-1
8.336509999E-1,2.113846890E-1
8.503257079E-1,2.104942268E-1
8.669959160E-1,2.107024708E-1
8.836709580E-1,2.098792995E-1
9.003421250E-1,2.099809449E-1
9.170134580E-1,2.105070676E-1
9.336836659E-1,2.112686767E-1
9.503597500E-1,2.113370586E-1
9.670287080E-1,2.113538940E-1
9.837033750E-1,2.099005111E-1
1.000373125E0,2.102973006E-1
1.017046541E0,2.104191655E-1
1.033717666E0,2.101859799E-1
1.050391333E0,2.107429062E-1
1.067062291E0,2.117192021E-1
1.083736416E0,2.118348762E-1
1.100409125E0,2.114263967E-1
1.117080583E0,2.111061530E-1
1.133749083E0,2.103813547E-1
1.150425250E0,2.105494716E-1
1.167095291E0,2.114840920E-1
1.183769541E0,2.202684213E-1
1.200440208E0,2.267148328E-1
1.217113708E0,2.269808843E-1
1.233782875E0,2.267728498E-1
1.250457958E0,2.309489940E-1
1.267127333E0,2.380181916E-1
1.283802041E0,2.390443627E-1
1.300479541E0,2.402608585E-1
1.317147333E0,2.475384192E-1
1.333815875E0,2.562506661E-1
1.350491458E0,2.570800826E-1
1.367160625E0,2.567565338E-1
1.383836041E0,2.627994605E-1
1.400505291E0,2.678282978E-1
1.417179583E0,2.660214767E-1
1.433848916E0,2.660962559E-1
1.450523458E0,2.698666793E-1
1.467193458E0,2.710174946E-1
1.483867458E0,2.759873020E-1
1.500537916E0,2.765882097E-1
1.517212666E0,2.790591084E-1
1.533880916E0,2.838303238E-1
1.550557166E0,2.838238332E-1
1.567227458E0,2.842865962E-1
1.583901125E0,2.864101279E-1
1.600571083E0,2.869691159E-1
1.617244583E0,2.919772762E-1
1.633913666E0,2.987242019E-1
1.650592833E0,3.027223129E-1
1.667259625E0,3.116042620E-1
1.683933166E0,3.284884242E-1
1.700604208E0,3.403484122E-1
1.717277291E0,3.483636302E-1
1.733946708E0,3.421830144E-1
1.750624791E0,3.123871588E-1
1.767291958E0,2.748978361E-1
1.783965916E0,2.867001730E-1
1.800637041E0,2.730265163E-1
1.817310708E0,2.341045452E-1
1.833980166E0,2.153789156E-1
1.850662875E0,2.124500526E-1
1.867325166E0,2.123838843E-1
1.883999541E0,2.124008935E-1
1.900669166E0,2.128821592E-1
1.917343000E0,2.375244027E-1
1.934013125E0,2.496652096E-1
1.950688583E0,2.964369898E-1
1.967359625E0,3.219211451E-1
1.984030916E0,2.887486036E-1
2.000701958E0,2.869655733E-1
2.017377375E0,2.474993868E-1
2.034046541E0,2.601452932E-1
2.050720583E0,2.295519768E-1
2.067391583E0,2.162736218E-1
2.084065291E0,2.137914254E-1
2.100735083E0,2.163303886E-1
2.117409375E0,2.152980371E-1
2.134078750E0,2.123914939E-1
2.150754458E0,2.189215378E-1
2.167423375E0,2.315534408E-1
2.184098041E0,2.492202521E-1
2.200767625E0,2.837964684E-1
2.217441875E0,2.898292037E-1
2.234111500E0,2.895779123E-1
2.250784666E0,2.466923327E-1
2.267456333E0,2.294772890E-1
2.284131041E0,2.288561037E-1
2.300800708E0,2.194798415E-1
2.317476041E0,2.140503535E-1
2.334144541E0,2.117272203E-1
