"t","z"
5.503957975E-3,NaN
2.217641601E-2,NaN
3.885041596E-2,NaN
5.552187504E-2,NaN
7.219545799E-2,NaN
8.886491600E-2,NaN
1.055389580E-1,NaN
1.222106250E-1,NaN
1.388821660E-1,NaN
1.555544999E-1,NaN
1.722252499E-1,NaN
1.888990829E-1,NaN
2.055705000E-1,NaN
2.222437080E-1,NaN
2.389157910E-1,NaN
2.555893750E-1,NaN
2.722575830E-1,NaN
2.889324580E-1,NaN
3.056046660E-1,NaN
3.222776250E-1,NaN
3.389462500E-1,NaN
3.556195829E-1,NaN
3.722910410E-1,NaN
3.889662910E-1,NaN
4.056360000E-1,NaN
4.223098330E-1,NaN
4.389792910E-1,NaN
4.556532500E-1,3.464791523E-1
4.723232910E-1,3.193823992E-1
4.890012910E-1,2.895785875E-1
5.056679579E-1,2.638749445E-1
5.223417500E-1,3.712260777E-1
5.390123749E-1,5.055344450E-1
5.556848330E-1,8.237149118E-1
5.723569579E-1,1.008205876E0
5.890305410E-1,1.103911095E0
6.057013330E-1,1.121923651E0
6.223744580E-1,1.054119940E0
6.390449160E-1,1.073757934E0
6.557168750E-1,5.682442135E-1
6.723903330E-1,4.280639359E-1
6.890615000E-1,3.161131828E-1
7.057330000E-1,2.324528107E-1
7.224076249E-1,2.103034592E-1
7.390785000E-1,NaN
7.557504160E-1,NaN
7.724217500E-1,NaN
7.890960830E-1,2.226661348E-1
8.057662910E-1,2.118461006E-1
8.224425410E-1,2.110526265E-1
8.391107910E-1,2.122933245E-1
8.557845410E-1,2.138897123E-1
8.724551660E-1,2.246465088E-1
8.891290830E-1,5.137921015E-1
9.057990410E-1,6.528331465E-1
9.224733750E-1,8.799614659E-1
9.391436250E-1,9.297929487E-1
9.558173330E-1,9.508505338E-1
9.724877910E-1,8.721938466E-1
9.891621660E-1,7.093813103E-1
1.005832000E0,4.189155363E-1
1.022506541E0,4.340065750E-1
1.039177666E0,3.124866394E-1
1.055848958E0,2.436566249E-1
1.072521083E0,2.182419370E-1
1.089195250E0,2.106971983E-1
1.105864541E0,2.106673028E-1
1.122540375E0,2.112769621E-1
1.139211125E0,2.093414567E-1
1.155881750E0,2.109741574E-1
1.172553416E0,2.101111755E-1
1.189227708E0,2.351459676E-1
1.205897541E0,2.424282007E-1
1.222572000E0,4.050602864E-1
1.239244291E0,5.216039912E-1
1.255916000E0,7.597804714E-1
1.272585458E0,8.435627277E-1
1.289260666E0,8.242074317E-1
1.305930500E0,7.939464782E-1
1.322605875E0,6.879172317E-1
1.339275083E0,5.461016328E-1
1.355949833E0,3.565571582E-1
1.372619250E0,3.297558413E-1
1.389293208E0,2.786117071E-1
1.405963375E0,2.995750726E-1
1.422637708E0,2.435099135E-1
1.439307958E0,2.179952625E-1
1.455982000E0,2.108082962E-1
1.472652541E0,2.102354816E-1
1.489326666E0,2.112418485E-1
1.505997250E0,2.100883740E-1
1.522670708E0,2.213958575E-1
1.539340583E0,2.342991925E-1
1.556014416E0,3.269991742E-1
1.572684916E0,3.751396688E-1
1.589360250E0,5.786852552E-1
1.606029583E0,6.796835719E-1
1.622703791E0,7.401649638E-1
1.639374125E0,7.383481556E-1
1.656047541E0,6.774855930E-1
1.672717083E0,5.604557974E-1
1.689391916E0,4.123233353E-1
1.706062416E0,4.014511310E-1
1.722737916E0,3.500842191E-1
1.739405916E0,3.061365528E-1
1.756080208E0,2.901359930E-1
1.772751500E0,2.348425766E-1
1.789424583E0,2.146373229E-1
1.806094958E0,2.106601094E-1
1.822768250E0,2.099379256E-1
1.839439333E0,2.112060593E-1
1.856113541E0,2.194855985E-1
1.872784291E0,2.192946534E-1
1.889458291E0,2.552742124E-1
1.906127708E0,2.884276048E-1
1.922801500E0,3.473046881E-1
1.939472583E0,3.873981597E-1
1.956151166E0,5.501849564E-1
1.972816458E0,5.782231861E-1
1.989490125E0,5.692650719E-1
2.006160875E0,4.717600601E-1
2.022834500E0,3.885739229E-1
2.039509541E0,3.594204591E-1
2.056182083E0,3.105062494E-1
2.072849166E0,3.048459661E-1
2.089523625E0,2.848106543E-1
2.106197708E0,2.434492918E-1
2.122867833E0,2.181961220E-1
2.139536916E0,2.102664936E-1
2.156210583E0,2.094011159E-1
2.172882333E0,2.094834270E-1
2.189556166E0,2.134738789E-1
2.206227125E0,2.146975534E-1
2.222900416E0,2.362875500E-1
2.239570791E0,2.481199752E-1
2.256251125E0,2.858307272E-1
2.272915166E0,3.098241717E-1
2.289589333E0,3.897040541E-1
2.306260875E0,4.195243353E-1
2.322933625E0,4.263922056E-1
2.339603291E0,3.888856990E-1
2.356279333E0,3.642426754E-1
2.372948250E0,3.398730159E-1
2.389621250E0,2.879721077E-1
2.406292250E0,2.889488413E-1
2.422966250E0,2.558199997E-1
2.439635625E0,2.396930674E-1
2.456310375E0,2.164924671E-1
2.472981083E0,2.092944899E-1
2.489654208E0,2.093333078E-1
2.506324916E0,2.094581562E-1
2.523000166E0,2.125257682E-1
2.539669208E0,2.141060114E-1
2.556343291E0,2.258752269E-1
2.573014125E0,2.275292514E-1
2.589688208E0,2.418897524E-1
2.606357583E0,2.501163414E-1
2.623032250E0,2.883469383E-1
2.639702458E0,2.988210874E-1
2.656376041E0,3.081705827E-1
