"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
5.493916688E-3,5.789340008E-3,5.818705074E-3,-1.294374233E-3,8.309584293E-3
1.547891658E-2,1.764107868E-2,2.420741133E-3,1.098227687E-3,1.784022838E-2
2.546291659E-2,2.205526829E-2,-8.294487372E-3,-1.739370404E-3,2.362750070E-2
3.544791660E-2,2.089638636E-2,-7.362077944E-3,-1.097300323E-3,2.218249811E-2
4.543191660E-2,2.244634740E-2,2.638624050E-3,-6.613407750E-4,2.261057762E-2
5.541691661E-2,1.724058017E-2,3.229602240E-3,-4.782793112E-3,1.818084281E-2
6.540091662E-2,1.282878686E-2,7.182415575E-4,-9.188726544E-3,1.579640271E-2
7.538591663E-2,1.078296360E-2,3.219478764E-3,-1.165780798E-2,1.620314273E-2
8.536991663E-2,5.769829266E-3,1.655403525E-3,-6.849736907E-3,9.107699285E-3
9.535491664E-2,1.526047592E-3,-5.576934200E-3,1.673572231E-3,6.019290684E-3
1.053399167E-1,-1.368009602E-3,-4.196085036E-3,1.024655439E-2,1.115663286E-2
1.153239167E-1,-5.287607200E-4,1.009573229E-3,8.741013706E-3,8.814995553E-3
1.253089167E-1,2.210833132E-3,6.939889863E-4,2.293500816E-3,3.260299043E-3
1.352929167E-1,1.904893783E-3,3.562266938E-3,-9.856665507E-3,1.065233406E-2
1.452779167E-1,2.807705197E-3,3.457871266E-3,-1.373981871E-2,1.444377722E-2
1.552619167E-1,-1.323974459E-3,-5.331281573E-4,-8.999200538E-3,9.111681750E-3
1.652469166E-1,-1.595350564E-3,1.326024067E-3,-4.051788710E-4,2.113682371E-3
1.752309166E-1,2.580213360E-3,1.756323501E-3,1.756607438E-3,3.581597817E-3
1.852159166E-1,9.928408079E-3,6.436547264E-4,4.293268546E-3,1.083603863E-2
1.951999166E-1,1.229262352E-2,5.424912088E-4,4.277804866E-3,1.302699137E-2
2.051849166E-1,1.516936906E-2,-7.328968495E-4,-1.496460987E-3,1.526061240E-2
2.151689166E-1,9.309263900E-3,-5.608340725E-4,-2.645026427E-3,9.693972045E-3
2.251539166E-1,4.503589123E-3,-2.587765921E-3,-3.779266495E-3,6.423527278E-3
2.351379166E-1,-2.586619928E-3,1.628234982E-3,-1.390055288E-3,3.357678590E-3
2.451229166E-1,-4.967752378E-3,4.703120328E-3,2.794569824E-3,7.389690455E-3
2.551069167E-1,-9.056271985E-3,4.138804972E-3,5.723643117E-3,1.148502762E-2
2.650919167E-1,-9.028042667E-3,6.958702579E-4,9.549007751E-3,1.315953414E-2
2.750759167E-1,5.774815800E-4,-1.217619050E-3,5.839894526E-3,5.993367100E-3
2.850609167E-1,8.171752095E-3,-2.865583170E-3,-3.333128989E-4,8.666036966E-3
2.950449167E-1,1.615424082E-2,-1.365673263E-3,-2.685158746E-3,1.643273067E-2
3.050299166E-1,2.384784818E-2,-7.012141868E-4,-7.161133923E-3,2.490970500E-2
3.150139166E-1,2.051149681E-2,3.999052569E-3,-9.336961433E-3,2.288870402E-2
3.249989166E-1,1.248872466E-2,1.888764091E-3,-1.089917216E-2,1.668315400E-2
3.349839166E-1,1.886512502E-3,-3.404363291E-3,-4.172314890E-3,5.705859302E-3
3.449679166E-1,-2.551112790E-3,-3.601171076E-3,9.468928911E-3,1.044687629E-2
3.549529166E-1,-3.718480933E-3,-3.418717068E-3,7.909235545E-3,9.384600883E-3
3.649369166E-1,-4.872162361E-3,2.346494235E-3,-1.411295729E-3,5.588895857E-3
3.749219166E-1,-8.347579278E-4,4.564627074E-3,-5.107690115E-3,6.900807158E-3
3.849059166E-1,-2.210813109E-3,1.024221070E-3,4.149070010E-4,2.471613081E-3
3.948909167E-1,6.659985520E-3,-1.684963703E-3,-1.855261857E-3,7.115933274E-3
4.048749167E-1,9.549781680E-3,-4.320960492E-3,-7.542442530E-3,1.291346077E-2
