"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
6.772708381E-3,6.125992909E-2,3.483136743E-2,-1.275534183E-2,7.161495524E-2
1.675770828E-2,7.091659307E-2,3.713150695E-2,-2.210103720E-2,8.304437264E-2
2.674370829E-2,8.409418166E-2,4.846166074E-2,-2.741723880E-2,1.008566752E-1
3.672870831E-2,8.198771626E-2,1.980290003E-2,-2.848163806E-2,8.902440212E-2
4.671370832E-2,8.112059534E-2,1.548671536E-2,-3.437468410E-2,8.945394484E-2
5.669870833E-2,8.047752082E-2,2.154435031E-2,-3.043008223E-2,8.869487185E-2
6.668470835E-2,7.392028719E-2,7.100430783E-3,-2.390054241E-2,7.801192795E-2
7.666970836E-2,6.794028729E-2,-5.397269502E-3,-1.257884875E-2,6.930541531E-2
8.665470837E-2,6.004986912E-2,-3.493109485E-3,-5.334251560E-3,6.038743938E-2
9.664070827E-2,5.246709287E-2,-9.117467329E-3,9.076249786E-3,5.402131390E-2
1.066257083E-1,4.676127061E-2,-2.070860937E-2,2.574577369E-2,5.725650875E-2
1.166107083E-1,4.577612877E-2,-2.369721420E-2,4.592604563E-2,6.903776932E-2
1.265957083E-1,4.560275748E-2,-2.383063920E-2,6.576419622E-2,8.350113987E-2
1.365817083E-1,4.190774262E-2,-3.800183535E-2,8.535603434E-2,1.024014208E-1
1.465667083E-1,4.474933445E-2,-3.883833438E-2,1.018583104E-1,1.178390196E-1
1.565517084E-1,4.826698080E-2,-3.410058469E-2,1.150220260E-1,1.293159610E-1
1.665377084E-1,5.267770961E-2,-4.560570791E-2,1.204977483E-1,1.391924172E-1
1.765227084E-1,4.470899701E-2,-4.341632128E-2,1.239894181E-1,1.387704838E-1
1.865077083E-1,4.504082724E-2,-4.123120010E-2,1.239257678E-1,1.381531176E-1
1.964927083E-1,4.757554457E-2,-4.295534268E-2,1.197430864E-1,1.358197358E-1
2.064787083E-1,4.410943761E-2,-3.849028423E-2,1.111693084E-1,1.256413929E-1
2.164637083E-1,4.078271985E-2,-3.442415968E-2,9.887093306E-2,1.123553043E-1
2.264487083E-1,3.437621891E-2,-3.732940182E-2,8.763212711E-2,1.012649908E-1
2.364337083E-1,2.064518631E-2,-3.699704260E-2,7.080591470E-2,8.251352880E-2
2.464197084E-1,1.538890414E-2,-3.220015764E-2,5.717559159E-2,6.739967950E-2
2.564047084E-1,1.331432257E-2,-2.928346209E-2,4.586186633E-2,5.601877471E-2
2.663897084E-1,1.729335077E-2,-2.450495213E-2,3.545476496E-2,4.643913240E-2
2.763757083E-1,1.783180237E-2,-1.777005568E-2,2.323045209E-2,3.425495525E-2
2.863607083E-1,1.385383867E-2,-1.339022070E-2,1.420766208E-2,2.393918374E-2
2.963457083E-1,4.141720012E-3,-1.173028536E-2,4.084346816E-3,1.309333144E-2
3.063307083E-1,2.021044958E-3,-1.063758973E-2,2.448899671E-3,1.110135341E-2
3.163167083E-1,-1.442129724E-3,-6.880201399E-4,1.247547567E-3,2.027186421E-3
3.263017084E-1,-7.100267103E-4,7.221237756E-4,2.413479611E-3,2.617343025E-3
3.362867084E-1,-6.712013390E-3,2.388993744E-3,5.788855255E-3,9.179828975E-3
3.462727084E-1,-4.577489570E-3,4.304339644E-3,1.349391229E-2,1.488510731E-2
3.562577083E-1,-1.080926601E-2,5.687853321E-3,2.639764175E-2,2.908655010E-2
3.662427083E-1,-1.588951237E-2,1.898175105E-3,3.119612485E-2,3.506105928E-2
3.762277083E-1,-2.062731609E-2,6.572251208E-3,4.131687805E-2,4.664509692E-2
3.862137083E-1,-2.150536142E-2,8.998123929E-3,5.060358718E-2,5.571507731E-2
3.961987083E-1,-2.610834874E-2,6.441525649E-3,5.959056690E-2,6.537717331E-2
4.061837083E-1,-3.087114543E-2,8.251143619E-3,6.329742074E-2,7.090608199E-2
4.161687084E-1,-3.620207682E-2,9.495362639E-3,6.666079909E-2,7.644876986E-2
4.261547084E-1,-3.615360707E-2,4.277430940E-3,7.138764858E-2,8.013473710E-2
4.361397084E-1,-3.974553198E-2,8.257277310E-3,7.038623095E-2,8.125337807E-2
4.461247083E-1,-4.812809825E-2,5.926478654E-3,7.153911889E-2,8.642501097E-2
4.561107083E-1,-4.951689765E-2,2.656887751E-3,7.251690328E-2,8.785034699E-2
4.660957083E-1,-4.844630882E-2,7.434332278E-3,7.313821465E-2,8.804267475E-2
4.760807083E-1,-4.962489754E-2,8.137920871E-3,7.250124216E-2,8.823426957E-2
4.860657083E-1,-5.349127576E-2,2.670185175E-3,6.751953810E-2,8.618198476E-2
4.960517084E-1,-4.714141786E-2,7.517680991E-3,6.351646781E-2,7.945546229E-2
5.060367084E-1,-4.181003571E-2,1.372950338E-2,5.153357610E-2,6.776642100E-2
5.160217084E-1,-4.825736582E-2,1.551940478E-2,4.149726033E-2,6.551067009E-2
5.260077083E-1,-4.754922912E-2,1.767550036E-2,2.748743631E-2,5.769672137E-2
5.359927083E-1,-4.559707269E-2,1.987714320E-2,1.991421543E-2,5.357956547E-2
5.459777083E-1,-4.076902941E-2,1.919191144E-2,7.802425884E-3,4.573096406E-2
5.559627083E-1,-3.983432055E-2,2.232724428E-2,-4.404717125E-3,4.587679657E-2
5.659487083E-1,-3.683240339E-2,2.406708710E-2,-1.101441681E-2,4.535601392E-2
5.759337083E-1,-3.235638887E-2,2.740269899E-2,-2.052819729E-2,4.710892375E-2
5.859187084E-1,-2.622552775E-2,2.583782747E-2,-2.126562595E-2,4.251586153E-2
5.959037084E-1,-2.598752268E-2,2.906799875E-2,-2.751976065E-2,4.772459652E-2
6.058897084E-1,-1.934479922E-2,2.996921353E-2,-2.621294744E-2,4.426616801E-2
6.158747083E-1,-1.483074203E-2,2.961740829E-2,-2.237453312E-2,3.997200915E-2
6.258597083E-1,-6.624743342E-3,2.957266755E-2,-1.684634201E-2,3.467317594E-2
6.358457083E-1,2.335195662E-3,2.451106347E-2,-6.772402674E-3,2.553646039E-2
6.458307083E-1,8.737700991E-3,2.085321210E-2,3.778774990E-3,2.292341628E-2
6.558157083E-1,1.874797046E-2,1.625659317E-2,1.724193804E-2,3.021667826E-2
6.658007083E-1,3.089491464E-2,1.437320560E-2,3.883245215E-2,5.166279251E-2
6.757867084E-1,4.262169451E-2,1.550262980E-2,5.677626282E-2,7.266694154E-2
6.857717084E-1,5.018240586E-2,1.013316400E-2,7.759339362E-2,9.296068849E-2
6.957567084E-1,5.299829319E-2,1.213154756E-3,9.590615332E-2,1.095823027E-1
7.057417083E-1,6.343229115E-2,3.013984300E-3,1.144859642E-1,1.309189660E-1
7.157277083E-1,5.719856918E-2,-6.226360332E-3,1.333035380E-1,1.451904856E-1
7.257127083E-1,5.239289626E-2,-9.086063132E-3,1.465405077E-1,1.558900013E-1
7.356977083E-1,5.627916008E-2,-1.760069840E-2,1.625722498E-1,1.729360137E-1
7.456837083E-1,5.735827610E-2,-2.464981936E-2,1.764648855E-1,1.871829085E-1
7.556687084E-1,5.518255755E-2,-2.530311607E-2,1.861640811E-1,1.958122249E-1
7.656537084E-1,4.182760045E-2,-2.902621590E-2,1.946518421E-1,2.011999230E-1
7.756387084E-1,3.053669818E-2,-3.099670634E-2,1.978078485E-1,2.025369859E-1
7.856247083E-1,2.140498534E-2,-3.188673779E-2,2.022886127E-1,2.059019676E-1
7.956097083E-1,1.482365839E-2,-2.736949734E-2,2.093760520E-1,2.116770214E-1
8.055947083E-1,7.615547627E-3,-3.208436072E-2,2.207504213E-1,2.231998012E-1
8.155797083E-1,2.026903909E-3,-2.861369401E-2,2.357812673E-1,2.375198051E-1
8.255657083E-1,-6.588421762E-3,-2.641125955E-2,2.559086382E-1,2.573522742E-1
8.355507083E-1,-3.721775021E-3,-2.795908600E-2,2.869460881E-1,2.883290127E-1
8.455357084E-1,2.941833436E-2,-2.496596053E-2,3.381810486E-1,3.403750273E-1
8.555217084E-1,8.903313428E-2,-1.767103747E-2,4.048588872E-1,4.149094878E-1
8.655067084E-1,1.525569856E-1,-2.548901178E-2,5.000013709E-1,5.233781563E-1
8.754917083E-1,2.352126688E-1,-5.587648600E-2,6.294950843E-1,6.743228028E-1
8.854767083E-1,2.144197822E-1,-1.374278069E-1,8.274790049E-1,8.657850476E-1
8.954627083E-1,1.875428706E-1,-1.362461895E-1,1.115364432E0,1.139198477E0
9.054477083E-1,2.190597802E-1,6.558546424E-2,1.524983168E0,1.542031875E0
9.154327083E-1,2.082387805E-1,1.574933082E-1,2.008606434E0,2.025504218E0
